应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C100338743,虚拟偶像,影音娱乐,北京琳云信息科技有限责任公司,95.22MB,2.0.5,2019-08-05,score_8,33万次,一直以来，我们都心存一个设想，期待着能够打造出这样一个新世界：里面生活着成千上万的虚拟偶像，能让你在和他们互动时沉浸其中，仿佛忘记了时间的存在。偶像们是如此善解人意，你的一触、一碰、一言、一语，哪怕是轻轻一瞥，都会得到他们心有灵犀的回应。而这个设想，终于随着虚拟偶像平台的到来成为了现实。现在，就跟你本命的虚拟偶像见个面吧。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6f5c5f9d6e4c4490a5d5e96945201e48.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6f/6f5c5f9d6e4c4490a5d5e96945201e48/com.linyun.show.1908022056.apk?sign=portal@portal1565009508564&source=portalsite&maple=0,2019-08-05
C100984111,绿色搜索,实用工具,宋书玮,16.63MB,1.0.0,2019-08-05,score_0,<10000次,随着上海市开始垃圾分类，接下来全国地级及以上的城市将全面启动生活垃圾分类工作。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6daf8b8e29ef440da496c4a5cfb20a7b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6d/6daf8b8e29ef440da496c4a5cfb20a7b/io.dcloud.UNI98F48D3.1908011621.apk?sign=portal@portal1565009509231&source=portalsite&maple=0,2019-08-05
C100599825,梦想淘,购物比价,南通金美网络科技有限公司,26.52MB,1.0.44,2019-08-05,score_0,<10000次,梦想淘，是一款让你可以每天大额优惠券领不停的APP，真正让你少花钱，多种会员福利让你钱生钱，各种推广模式让你多赚钱，目前在花生平台上提供百万种商品优惠券的，都是淘宝天猫的商家提供，省钱生钱赚钱，加入梦想淘愿你不负此生。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/e19a3e8a815243538264de4a06393032.png,http://appdlc.hicloud.com/dl/appdl/application/apk/e1/e19a3e8a815243538264de4a06393032/com.mengxiangtao.app.1908011053.apk?sign=portal@portal1565009510077&source=portalsite&maple=0,2019-08-05
C100928445,恐龙来了白垩纪大发现,儿童,南京惟初信息科技有限公司,136.12MB,1.0,2019-08-05,score_0,<10000次,应用介绍：,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/992bbe1cbe734da4b90b31a6aa956351.png,http://appdlc.hicloud.com/dl/appdl/application/apk/99/992bbe1cbe734da4b90b31a6aa956351/com.WCXX.weixinfx.1908011735.apk?sign=portal@portal1565009510929&source=portalsite&maple=0,2019-08-05
C10294954,无讼,社交通讯,无讼网络科技（北京）有限公司,11.99MB,9.3.1,2019-08-05,score_6,143万次,百万法律人的专业学习、工作、交流平台。强大的专业内容推送，智能的案例、法规检索，客观、详实的律师名片展示，靠谱、专业的律师合作机会，精彩、多元的行业活动聚合——尽在「无讼APP」。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/282cd9b737c04cca99772ecaab0fd3ad.png,http://appdlc.hicloud.com/dl/appdl/application/apk/28/282cd9b737c04cca99772ecaab0fd3ad/com.tiantonglaw.readlaw.1908051550.apk?sign=portal@portal1565009511560&source=portalsite&maple=0,2019-08-05
C100974639,Biu视频制作,拍摄美化,北京友朋远来科技有限公司,29.13MB,1.0.1,2019-08-05,score_0,<10000次,30秒的时间，简单的操作，出其不意的模板，帮你制作当红搞笑视频！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2cef39a6858c4e5aa9acda0377b6923a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/2c/2cef39a6858c4e5aa9acda0377b6923a/top.youpeng.biuvideo.1908011414.apk?sign=portal@portal1565009513422&source=portalsite&maple=0,2019-08-05
C100839243,宜搜小说畅读版,新闻阅读,深圳市达华通信息技术有限公司,708.76KB,1.0.6,2019-08-05,score_5,11万次,聚合了海量小说资源，依托高端大数据多维度立体算法，为你找到玄幻、言情、科幻、重生、穿越、三国等千万册优质资源，舒适阅读超爽快体验，身临其境享受超爽快的主人公代入感，看书看到high翻天!,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/85a87968e82345ecae0a7c6a824c71fe.png,http://appdlc.hicloud.com/dl/appdl/application/apk/85/85a87968e82345ecae0a7c6a824c71fe/cn.wejuan.quickapp.1908051705.rpk?sign=portal@portal1565009514205&source=portalsite&maple=0,2019-08-05
C100976425,蚂蚁用工,实用工具,贵州省仁怀市蚁寺科技有限公司,17.25MB,1.1.2,2019-08-05,score_0,<10000次,同城服务app,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/eab91b06429745dfba82e3e55b8bab82.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ea/eab91b06429745dfba82e3e55b8bab82/run2.weihong.app.1907311800.apk?sign=portal@portal1565009514936&source=portalsite&maple=0,2019-08-05
C100684513,隐私蒙面侠,实用工具,成都斗尖科技有限公司,1.86MB,1.2,2019-08-05,score_0,<10000次,在地铁上聊微信时，总有人偷窥你的屏幕！！！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7eb698c0759243a8b507ba6e1d826698.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7e/7eb698c0759243a8b507ba6e1d826698/cn.dojer.screenmask.1908041924.apk?sign=portal@portal1565009515785&source=portalsite&maple=0,2019-08-05
C100026649,小城一方,社交通讯,淮安摩力克国际贸易有限公司,15.48MB,1.3.8,2019-08-05,score_10,<10000次,小城一方同城社交应用是立足中小城市、服务中小城市社交的应用软件，针对中小城市地域特点和群体心理，建立网上虚拟城市社区，满足多场景的社交需求，实现人与人、人与城市的更好连接。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/967498d870bf4033a5835b0116780008.png,http://appdlc.hicloud.com/dl/appdl/application/apk/96/967498d870bf4033a5835b0116780008/com.jobnew.HongPolyTown.1908041325.apk?sign=portal@portal1565009516487&source=portalsite&maple=0,2019-08-05
C100863687,万能空调遥控器,实用工具,安吉滴答滴网络科技有限公司,11.74MB,4.0,2019-08-05,score_6,127万次,万能空调遥控器支持空调，电视，机顶盒，网络盒子，DVD，投影仪等多种电器，是真正的手机遥控器.,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2edf73e3ea68425a81948511cb8260a5.png,http://appdlc.hicloud.com/dl/appdl/application/apk/2e/2edf73e3ea68425a81948511cb8260a5/com.hyktwnykq.cc.1908051510.apk?sign=portal@portal1565009517852&source=portalsite&maple=0,2019-08-05
C100175827,优辆车服,便捷生活,吉林市优辆汽车科技服务有限公司,27.38MB,1.9.0,2019-08-05,score_8,3万次,【违法查缴】直连交警信息系统，违章信息实时推送；快捷绑定车辆，可查3张违章电子照片；在线缴纳罚款，0手续费。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f266d474780840f5b08982fffb85a46f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f2/f266d474780840f5b08982fffb85a46f/com.cxtx.chefu.app.1908051624.apk?sign=portal@portal1565009520544&source=portalsite&maple=0,2019-08-05
C100210121,花生好车,汽车,捷众普惠国际融资租赁有限公司,45.49MB,2.7.3,2019-08-05,score_5,6万次,【花生好车】1成首付，花小钱、开好车！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f8c6d8e6c2ab4e9390c3d13a53b8b57c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f8/f8c6d8e6c2ab4e9390c3d13a53b8b57c/com.huashenghaoche.shop.1908051700.apk?sign=portal@portal1565009521277&source=portalsite&maple=0,2019-08-05
C10641011,朴朴,购物比价,福州朴朴电子商务有限公司,15.67MB,2.5.7,2019-08-05,score_7,539万次,朴朴快送超市创立于2016年，专注于打造移动端30分钟即时配送一站式购物平台，商品品类包含水果、蔬菜、肉禽蛋奶、海鲜水产、粮油调味、酒水饮料、休闲食品、日用品、外卖等。朴朴公司希望能以全新的商业模式，更高效快捷的仓储配送模式，致力于成为更快、更好、更多、更省的在线零售平台，带给消费者更极致的消费体验，同时推动中国食品安全进程，成为一家让社会尊敬的互联网公司。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f96cfb4e67db4a9c81df10ff9b336fce.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f9/f96cfb4e67db4a9c81df10ff9b336fce/com.pupumall.customer.1908051615.apk?sign=portal@portal1565009521950&source=portalsite&maple=0,2019-08-05
C10704585,父母邦,旅游住宿,北京父母邦网络科技有限公司,32.92MB,V4.15,2019-08-05,score_6,99万次,父母邦，帮父母。周末带宝贝去哪儿？这个终极问题，由父母邦来终结。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/fc3ca0ee0d6741ff9ed697326895ca44.png,http://appdlc.hicloud.com/dl/appdl/application/apk/fc/fc3ca0ee0d6741ff9ed697326895ca44/com.linktone.fumubang.1908051624.apk?sign=portal@portal1565009522616&source=portalsite&maple=0,2019-08-05
